1p.prs	1p.pst	3p.prs	3p.pst
hibernate	hibernated	hibernates	hibernated
hiccup	hiccupped	hiccups	hiccupped
hide	hid	hides	hid
hie	hied	hies	hied
highlight	highlighted	highlights	highlighted
high-pressure	high-pressured	high-pressures	high-pressured
hijack	hijacked	hijacks	hijacked
hike	hiked	hikes	hiked
hinder	hindered	hinders	hindered
hinge	hinged	hinges	hinged
hint	hinted	hints	hinted
hire	hired	hires	hired
hiss	hissed	hisses	hissed
hit	hit	hits	hit
hitch	hitched	hitches	hitched
hitchhike	hitchhiked	hitchhikes	hitchhiked
hive	hived	hives	hived
hoard	hoarded	hoards	hoarded
hoax	hoaxed	hoaxes	hoaxed
hobble	hobbled	hobbles	hobbled
hobnob	hobnobbed	hobnobs	hobnobbed
hock	hocked	hocks	hocked
hoe	hoed	hoes	hoed
hog	hogged	hogs	hogged
hoist	hoisted	hoists	hoisted
hold	held	holds	held
hole	holed	holes	holed
holiday	holidayed	holidays	holidayed
holler	hollered	hollers	hollered
holystone	holystoned	holystones	holystoned
home	homed	homes	homed
homogenize	homogenized	homogenizes	homogenized
hone	honed	hones	honed
honeycomb	honeycombed	honeycombs	honeycombed
honeymoon	honeymooned	honeymoons	honeymooned
honk	honked	honks	honked
honour	honoured	honours	honoured
hood	hooded	hoods	hooded
hoodoo	hoodooed	hoodoos	hoodooed
hoodwink	hoodwinked	hoodwinks	hoodwinked
hook	hooked	hooks	hooked
hoop	hooped	hoops	hooped
hoot	hooted	hoots	hooted
hoover	hoovered	hoovers	hoovered
hop	hopped	hops	hopped
hope	hoped	hopes	hoped
horrify	horrified	horrifies	horrified
horsewhip	horsewhipped	horsewhips	horsewhipped
hose	hosed	hoses	hosed
hospitalize	hospitalized	hospitalizes	hospitalized
host	hosted	hosts	hosted
hound	hounded	hounds	hounded
house	housed	houses	housed
hover	hovered	hovers	hovered
howl	howled	howls	howled
huddle	huddled	huddles	huddled
huff	huffed	huffs	huffed
hug	hugged	hugs	hugged
hull	hulled	hulls	hulled
hum	hummed	hums	hummed
humanize	humanized	humanizes	humanized
humble	humbled	humbles	humbled
humbug	humbugged	humbugs	humbugged
humidify	humidified	humidifies	humidified
humiliate	humiliated	humiliates	humiliated
humour	humoured	humours	humoured
hump	humped	humps	humped
hunch	hunched	hunches	hunched
hunger	hungered	hungers	hungered
hunt	hunted	hunts	hunted
hurdle	hurdled	hurdles	hurdled
hurl	hurled	hurls	hurled
hurrah	hurrahed	hurrahs	hurrahed
hurry	hurried	hurries	hurried
hurt	hurt	hurts	hurt
hurtle	hurtled	hurtles	hurtled
husband	husbanded	husbands	husbanded
hush	hushed	hushes	hushed
husk	husked	husks	husked
hustle	hustled	hustles	hustled
hut	hutted	huts	hutted
hybridize	hybridized	hybridizes	hybridized
hydrate	hydrated	hydrates	hydrated
hymn	hymned	hymns	hymned
hyphen	hyphened	hyphens	hyphened
hyphenate	hyphenated	hyphenates	hyphenated
hypnotize	hypnotized	hypnotizes	hypnotized
hypothecate	hypothecated	hypothecates	hypothecated
ice	iced	ices	iced
ice-skate	ice-skated	ice-skates	ice-skated
idealize	idealized	idealizes	idealized
identify	identified	identifies	identified
idle	idled	idles	idled
idolize	idolized	idolizes	idolized
ignite	ignited	ignites	ignited
ignore	ignored	ignores	ignored
ill-treat	ill-treated	ill-treats	ill-treated
illume	illumed	illumes	illumed
illuminate	illuminated	illuminates	illuminated
illumine	illumined	illumines	illumined
ill-use	ill-used	ill-uses	ill-used
illustrate	illustrated	illustrates	illustrated
image	imaged	images	imaged
imagine	imagined	imagines	imagined
imbibe	imbibed	imbibes	imbibed
imitate	imitated	imitates	imitated
immerse	immersed	immerses	immersed
immigrate	immigrated	immigrates	immigrated
immobilize	immobilized	immobilizes	immobilized
immolate	immolated	immolates	immolated
immortalize	immortalized	immortalizes	immortalized
immunize	immunized	immunizes	immunized
immure	immured	immures	immured
impact	impacted	impacts	impacted
impair	impaired	impairs	impaired
impale	impaled	impales	impaled
impart	imparted	imparts	imparted
impassion	impassioned	impassions	impassioned
impeach	impeached	impeaches	impeached
impede	impeded	impedes	impeded
impel	impelled	impels	impelled
impend	impended	impends	impended
imperil	imperilled	imperils	imperilled
impersonate	impersonated	impersonates	impersonated
implant	implanted	implants	implanted
implement	implemented	implements	implemented
implicate	implicated	implicates	implicated
implode	imploded	implodes	imploded
implore	implored	implores	implored
imply	implied	implies	implied
import	imported	imports	imported
importune	importuned	importunes	importuned
impose	imposed	imposes	imposed
impound	impounded	impounds	impounded
impoverish	impoverished	impoverishes	impoverished
imprecate	imprecated	imprecates	imprecated
impregnate	impregnated	impregnates	impregnated
impress	impressed	impresses	impressed
imprint	imprinted	imprints	imprinted
imprison	imprisoned	imprisons	imprisoned
improve	improved	improves	improved
improvise	improvised	improvises	improvised
impugn	impugned	impugns	impugned
inactivate	inactivated	inactivates	inactivated
inaugurate	inaugurated	inaugurates	inaugurated
inbreed	inbred	inbreeds	inbred
incapacitate	incapacitated	incapacitates	incapacitated
incarcerate	incarcerated	incarcerates	incarcerated
incarnate	incarnated	incarnates	incarnated
incense	incensed	incenses	incensed
inch	inched	inches	inched
incinerate	incinerated	incinerates	incinerated
incise	incised	incises	incised
incite	incited	incites	incited
incline	inclined	inclines	inclined
include	included	includes	included
incommode	incommoded	incommodes	incommoded
inconvenience	inconvenienced	inconveniences	inconvenienced
incorporate	incorporated	incorporates	incorporated
increase	increased	increases	increased
incriminate	incriminated	incriminates	incriminated
incubate	incubated	incubates	incubated
inculcate	inculcated	inculcates	inculcated
